"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","49","python3.12","127.0.0.1","_5x_cudnn_volta_scudnn_128x32_3dconv_fprop_small_nn_v1","1","7","(128, 1, 1)","(7, 32, 3)","0","7.0","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","7.10"
"0","49","python3.12","127.0.0.1","_5x_cudnn_volta_scudnn_128x32_3dconv_fprop_small_nn_v1","1","7","(128, 1, 1)","(7, 32, 3)","0","7.0","Command line profiler metrics","gpu__time_duration.sum","ns","741632"
"0","49","python3.12","127.0.0.1","_5x_cudnn_volta_scudnn_128x32_3dconv_fprop_small_nn_v1","1","7","(128, 1, 1)","(7, 32, 3)","0","7.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","73.40"
"1","49","python3.12","127.0.0.1","_5x_cudnn_volta_scudnn_128x64_3dconv_fprop_xregs_large_nn_v1","1","7","(128, 1, 1)","(7, 16, 3)","0","7.0","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","6.01"
"1","49","python3.12","127.0.0.1","_5x_cudnn_volta_scudnn_128x64_3dconv_fprop_xregs_large_nn_v1","1","7","(128, 1, 1)","(7, 16, 3)","0","7.0","Command line profiler metrics","gpu__time_duration.sum","ns","6311488"
"1","49","python3.12","127.0.0.1","_5x_cudnn_volta_scudnn_128x64_3dconv_fprop_xregs_large_nn_v1","1","7","(128, 1, 1)","(7, 16, 3)","0","7.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","68.25"
"2","49","python3.12","127.0.0.1","_5x_cudnn_volta_scudnn_128x64_3dconv_fprop_xregs_large_nn_v1","1","7","(128, 1, 1)","(7, 16, 3)","0","7.0","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","7.00"
"2","49","python3.12","127.0.0.1","_5x_cudnn_volta_scudnn_128x64_3dconv_fprop_xregs_large_nn_v1","1","7","(128, 1, 1)","(7, 16, 3)","0","7.0","Command line profiler metrics","gpu__time_duration.sum","ns","5366272"
"2","49","python3.12","127.0.0.1","_5x_cudnn_volta_scudnn_128x64_3dconv_fprop_xregs_large_nn_v1","1","7","(128, 1, 1)","(7, 16, 3)","0","7.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","68.41"
"3","49","python3.12","127.0.0.1","_5x_cudnn_volta_scudnn_128x64_3dconv_fprop_xregs_large_nn_v1","1","7","(128, 1, 1)","(7, 16, 3)","0","7.0","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","6.48"
"3","49","python3.12","127.0.0.1","_5x_cudnn_volta_scudnn_128x64_3dconv_fprop_xregs_large_nn_v1","1","7","(128, 1, 1)","(7, 16, 3)","0","7.0","Command line profiler metrics","gpu__time_duration.sum","ns","6323616"
"3","49","python3.12","127.0.0.1","_5x_cudnn_volta_scudnn_128x64_3dconv_fprop_xregs_large_nn_v1","1","7","(128, 1, 1)","(7, 16, 3)","0","7.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","80.42"
"4","49","python3.12","127.0.0.1","_5x_cudnn_volta_scudnn_128x64_3dconv_fprop_xregs_large_nn_v1","1","7","(128, 1, 1)","(7, 16, 3)","0","7.0","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","7.58"
"4","49","python3.12","127.0.0.1","_5x_cudnn_volta_scudnn_128x64_3dconv_fprop_xregs_large_nn_v1","1","7","(128, 1, 1)","(7, 16, 3)","0","7.0","Command line profiler metrics","gpu__time_duration.sum","ns","5371136"
"4","49","python3.12","127.0.0.1","_5x_cudnn_volta_scudnn_128x64_3dconv_fprop_xregs_large_nn_v1","1","7","(128, 1, 1)","(7, 16, 3)","0","7.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","80.43"
"5","49","python3.12","127.0.0.1","_5x_cudnn_volta_scudnn_128x64_3dconv_fprop_xregs_large_nn_v1","1","7","(128, 1, 1)","(7, 64, 3)","0","7.0","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","14.65"
"5","49","python3.12","127.0.0.1","_5x_cudnn_volta_scudnn_128x64_3dconv_fprop_xregs_large_nn_v1","1","7","(128, 1, 1)","(7, 64, 3)","0","7.0","Command line profiler metrics","gpu__time_duration.sum","ns","18938368"
"5","49","python3.12","127.0.0.1","_5x_cudnn_volta_scudnn_128x64_3dconv_fprop_xregs_large_nn_v1","1","7","(128, 1, 1)","(7, 64, 3)","0","7.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","91.20"
"6","49","python3.12","127.0.0.1","_5x_cudnn_volta_scudnn_128x64_3dconv_fprop_xregs_large_nn_v1","1","7","(128, 1, 1)","(42, 8, 3)","0","7.0","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","3.57"
"6","49","python3.12","127.0.0.1","_5x_cudnn_volta_scudnn_128x64_3dconv_fprop_xregs_large_nn_v1","1","7","(128, 1, 1)","(42, 8, 3)","0","7.0","Command line profiler metrics","gpu__time_duration.sum","ns","7410304"
"6","49","python3.12","127.0.0.1","_5x_cudnn_volta_scudnn_128x64_3dconv_fprop_xregs_large_nn_v1","1","7","(128, 1, 1)","(42, 8, 3)","0","7.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","87.48"
"7","49","python3.12","127.0.0.1","_5x_cudnn_volta_scudnn_128x64_3dconv_fprop_xregs_large_nn_v1","1","7","(128, 1, 1)","(42, 8, 3)","0","7.0","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","3.57"
"7","49","python3.12","127.0.0.1","_5x_cudnn_volta_scudnn_128x64_3dconv_fprop_xregs_large_nn_v1","1","7","(128, 1, 1)","(42, 8, 3)","0","7.0","Command line profiler metrics","gpu__time_duration.sum","ns","7410848"
"7","49","python3.12","127.0.0.1","_5x_cudnn_volta_scudnn_128x64_3dconv_fprop_xregs_large_nn_v1","1","7","(128, 1, 1)","(42, 8, 3)","0","7.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","87.44"
